@relation DogodkiNaSlovenskem

@attribute Tip {Pop,Rock,Narodno-zabavni,Hip-Hop,Classic}
@attribute ' Naslov-lokala' {' Disco_Planet',' Na_odprtem',' Stuk',' Pub_Beli_Konj',' Trust',' Bar_Lunca',' Plus-Minus'}
@attribute ' Pricetek' {' Dopoldan',' Popoldan',' Zvecer'}
@attribute ' Cena' {' Brezplacno',' 3€',' 5€',' 10€',' 15€',' 20€'}
@attribute ' Lokacija' {' Celje',' Sentjur',' Maribor',' Slovenske_Konjice',' Slovenska_Bistrica'}
@attribute ' Udelezba' {' 1x',' 3x',' 2x',' veckrat'}
@attribute ' Ocena_dogodka' numeric
@attribute ' Class' {' Povprecen',' Dober',' Priporocljiv',' Priporocljiv ',' Povprecen ',' Dober '}

@data
Pop,' Disco_Planet',' Dopoldan',' Brezplacno',' Celje',' 1x',5,' Povprecen'
Rock,' Disco_Planet',' Dopoldan',' 3€',' Celje',' 1x',4,' Povprecen'
Pop,' Na_odprtem',' Popoldan',' 5€',' Celje',' 3x',2,' Dober'
Narodno-zabavni,' Na_odprtem',' Popoldan',' Brezplacno',' Sentjur',' 3x',7,' Priporocljiv'
Hip-Hop,' Stuk',' Dopoldan',' 10€',' Maribor',' 2x',8,' Priporocljiv'
Classic,' Stuk',' Popoldan',' 10€',' Maribor',' 3x',9,' Priporocljiv'
Narodno-zabavni,' Pub_Beli_Konj',' Zvecer',' Brezplacno',' Slovenske_Konjice',' 3x',4,' Povprecen'
Hip-Hop,' Pub_Beli_Konj',' Dopoldan',' 3€',' Slovenske_Konjice',' 3x',1,' Dober'
Classic,' Disco_Planet',' Popoldan',' Brezplacno',' Celje',' 2x',6,' Povprecen'
Narodno-zabavni,' Disco_Planet',' Zvecer',' 5€',' Celje',' 2x',7,' Priporocljiv'
Pop,' Trust',' Dopoldan',' 15€',' Maribor',' 3x',8,' Priporocljiv'
Hip-Hop,' Na_odprtem',' Zvecer',' Brezplacno',' Celje',' 3x',10,' Priporocljiv'
Classic,' Bar_Lunca',' Popoldan',' 3€',' Slovenska_Bistrica',' 3x',10,' Priporocljiv'
Narodno-zabavni,' Stuk',' Zvecer',' Brezplacno',' Maribor',' 2x',9,' Priporocljiv '
Pop,' Plus-Minus',' Dopoldan',' 3€',' Maribor',' 2x',7,' Priporocljiv'
